Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue,,,,,,,
18,US-2019-135405,2019-01-09,2019-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB, 31.20,3,0.2,9.75, 93.60,,,,,,,
19,US-2019-149020,2019-01-10,2019-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock, 51.94,1,0,21.2954, 51.94,,,,,,,
20,US-2019-149020,2019-01-10,2019-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482, 2.89,1,0,1.3583, 2.89,,,,,,,
21,US-2019-130092,2019-01-11,2019-01-14,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,DAX Value U-Channel Document Frames_ Easel Back, 9.94,2,0,3.0814, 19.88,,,,,,,
22,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,OSullivan Elevations Bookcase_ Cherry Finish, 334.00,3,0.15,3.9294, 1,002.00,,,,,,,
23,US-2019-109232,2019-01-13,2019-01-16,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy, 545.94,6,0,87.3504, 3,275.64,,,,,,,
24,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford, 19.90,5,0,6.567, 99.50,,,,,,,
25,US-2019-118192,2019-01-13,2019-01-18,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders, 3.44,2,0.7,-2.5212, 6.88,,,,,,,
26,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack, 5.64,3,0,2.7072, 16.92,,,,,,,
27,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes, 50.94,3,0,25.47, 152.82,,,,,,,
28,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope, 11.36,2,0,5.3392, 22.72,,,,,,,
29,US-2019-118192,2019-01-13,2019-01-18,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923, 37.41,7,0.2,13.0928, 261.86,,,,,,,
30,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers, 572.58,6,0,34.3548, 3,435.48,,,,,,,
31,US-2019-157147,2019-01-13,2019-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers, 1,325.85,5,0,238.653, 6,629.25,,,,,,,
32,US-2019-162775,2019-01-13,2019-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System, 646.74,6,0,258.696, 3,880.44,,,,,,,
33,US-2019-149524,2019-01-14,2019-01-15,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library, 61.96,4,0.5,-53.2856, 247.84,,,,,,,
34,US-2019-103366,2019-01-15,2019-01-17,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling, 149.95,5,0,65.978, 749.75,,,,,,,
35,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame, 127.10,6,0.2,28.5984, 762.62,,,,,,,
36,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers, 18.59,2,0.7,-13.6312, 37.18,,,,,,,
37,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels, 30.07,3,0.2,10.1493, 90.22,,,,,,,
38,US-2019-115791,2019-01-16,2019-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone, 124.20,3,0.4,-31.05, 372.60,,,,,,,
39,US-2019-123477,2019-01-18,2019-01-21,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector, 64.86,4,0.2,6.4864, 259.46,,,,,,,
40,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,OSullivan 4-Shelf Bookcase in Odessa Pine, 181.47,5,0.7,-320.597, 907.35,,,,,,,
41,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,GBC Standard Recycled Report Covers_ Clear Plastic Sheets, 32.34,10,0.7,-23.716, 323.40,,,,,,,
42,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes_ Plain White, 108.72,5,0.2,36.693, 543.60,,,,,,,
43,US-2019-146591,2019-01-19,2019-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,TOPS Carbonless Receipt Book_ Four 2-3/4 x 7-1/4 Money Receipts per Page, 56.06,4,0.2,19.6224, 224.26,,,,,,,
44,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms, 1,067.94,3,0,224.2674, 3,203.82,,,,,,,
45,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate, 14.73,3,0,4.8609, 44.19,,,,,,,
46,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection, 272.94,3,0,30.0234, 818.82,,,,,,,
47,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory_ Wood Pencil Holder_ Oak, 38.60,4,0,11.58, 154.40,,,,,,,
48,US-2019-148614,2019-01-20,2019-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory_ Wood Pencil Holder_ Oak, 19.30,2,0,5.79, 38.60,,,,,,,
49,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner_ Very Large Room_ HEPA Filter, 247.72,4,0.1,93.5816, 990.86,,,,,,,
50,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351, 22.96,7,0,6.6584, 160.72,,,,,,,
51,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327, 6.63,3,0,1.7901, 19.89,,,,,,,
52,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener, 43.92,3,0,12.7368, 131.76,,,,,,,
53,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks_ 9 1/2 x 11_ Executive Red, 19.05,5,0,8.9535, 95.25,,,,,,,
54,US-2019-147774,2019-01-20,2019-01-26,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine, 67.19,1,0.7,-51.5154, 67.19,,,,,,,
55,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders, 29.70,5,0,13.365, 148.50,,,,,,,
56,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope, 23.34,3,0,10.9698, 70.02,,,,,,,
57,US-2019-148614,2019-01-20,2019-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,Wirebound Service Call Books_ 5 1/2 x 4, 19.36,2,0,9.2928, 38.72,,,,,,,
58,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold N Roll Cart System, 13.98,1,0,4.0542, 13.98,,,,,,,
59,US-2019-167927,2019-01-20,2019-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems, 66.58,2,0,15.9792, 133.16,,,,,,,
60,US-2019-147627,2019-01-20,2019-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C, 699.93,7,0,181.9818, 4,899.51,,,,,,,
61,US-2019-110422,2019-01-21,2019-01-23,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle, 25.25,3,0.2,4.1028, 75.74,,,,,,,
62,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,Eldon Im ge Series Desk Accessories_ Clear, 24.30,5,0,10.45, 121.50,,,,,,,
63,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame_ Desktop_ 5 x 7, 9.48,1,0,3.79, 9.48,,,,,,,
64,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,Eldon 200 Class Desk Accessories_ Burgundy, 31.40,5,0,13.19, 157.00,,,,,,,
65,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright), 6.48,1,0,3.11, 6.48,,,,,,,
66,CA-2019-115238,2019-01-21,2019-01-24,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5_ 4S 4, 209.50,10,0,58.66, 2,095.00,,,,,,,
67,US-2019-146997,2019-01-23,2019-01-27,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,Alliance Big Bands Rubber Bands_ 12/Pack, 5.94,3,0,0, 17.82,,,,,,,
68,US-2019-102645,2019-01-23,2019-01-28,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195, 40.08,6,0,19.2384, 240.48,,,,,,,
69,US-2019-167997,2019-01-26,2019-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,Safco Value Mate Series Steel Bookcases_ Baked Enamel Finish on Steel_ Gray, 141.96,2,0,39.7488, 283.92,,,,,,,
70,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories, 12.42,3,0,4.4712, 37.26,,,,,,,
71,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,GE General Use Halogen Bulbs_ 100 Watts_ 1 Bulb per Pack, 62.82,3,0,30.7818, 188.46,,,,,,,
72,US-2019-167997,2019-01-26,2019-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders, 10.68,2,0,5.0196, 21.36,,,,,,,
73,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,REDIFORM Incoming/Outgoing Call Register_ 11 X 8 1/2_ 100 Messages, 16.68,2,0,8.34, 33.36,,,,,,,
74,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,Eureka Recycled Copy Paper 8 1/2 x 11_ Ream, 19.44,3,0,9.3312, 58.32,,,,,,,
75,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,SAFCO Commercial Wire Shelving_ 72h, 489.92,8,0,0, 3,919.36,,,,,,,
76,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410, 187.98,2,0,52.6344, 375.96,,,,,,,
77,US-2019-155502,2019-01-26,2019-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount, 155.35,13,0,0, 2,019.55,,,,,,,
78,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table, 333.00,3,0.2,-16.65, 999.00,,,,,,,
79,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils, 36.44,4,0,12.0252, 145.76,,,,,,,
80,US-2019-117163,2019-01-27,2019-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders, 57.23,1,0,14.3075, 57.23,,,,,,,
81,US-2019-100328,2019-01-28,2019-02-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,Pressboard Covers with Storage Hooks_ 9 1/2 x 11_ Light Blue, 3.93,1,0.2,1.3257, 3.93,,,,,,,
82,US-2019-134103,2019-01-30,2019-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972, 10.56,2,0,4.752, 21.12,,,,,,,
83,US-2019-134103,2019-01-30,2019-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving., 229.94,2,0,6.8982, 459.88,,,,,,,
84,US-2019-115161,2019-01-31,2019-02-02,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,Sauder Facets Collection Library_ Sky Alder Finish, 290.67,2,0.15,3.4196, 581.33,,,,,,,
85,US-2019-140795,2019-02-01,2019-02-03,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard, 468.90,6,0,206.316, 2,813.40,,,,,,,
86,US-2019-123400,2019-02-02,2019-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders, 18.34,2,0.7,-12.224, 36.67,,,,,,,
87,US-2019-139857,2019-02-02,2019-02-06,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples, 12.35,5,0,5.8045, 61.75,,,,,,,
88,US-2019-123400,2019-02-02,2019-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone, 180.96,5,0.2,13.572, 904.80,,,,,,,
89,US-2019-111059,2019-02-03,2019-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders, 13.27,3,0.2,4.3134, 39.82,,,,,,,
90,US-2019-111059,2019-02-03,2019-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers, 83.84,2,0.2,27.248, 167.68,,,,,,,
91,US-2019-104808,2019-02-04,2019-02-08,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,GBC Standard Recycled Report Covers_ Clear Plastic Sheets, 17.25,2,0.2,6.0368, 34.50,,,,,,,
92,US-2019-107181,2019-02-04,2019-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers, 82.90,3,0.2,29.0136, 248.69,,,,,,,
93,US-2019-107181,2019-02-04,2019-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,Message Book_ Standard Line While You Were Out_ 5 1/2 X 4_ 200 Sets/Book, 34.24,4,0,16.0928, 136.96,,,,,,,
94,US-2019-108182,2019-02-06,2019-02-10,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,Avery Flip-Chart Easel Binder_ Black, 8.95,2,0.8,-14.7708, 17.90,,,,,,,
95,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480, 15.00,4,0,7.2, 60.00,,,,,,,
96,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213, 144.95,5,0,42.0355, 724.75,,,,,,,
97,US-2019-131905,2019-02-06,2019-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone, 161.61,1,0,42.0186, 161.61,,,,,,,
98,US-2019-169390,2019-02-07,2019-02-10,Second Class,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,10024,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers, 64.96,4,0,9.744, 259.84,,,,,,,
99,US-2019-107755,2019-02-07,2019-02-12,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs, 115.36,7,0,49.6048, 807.52,,,,,,,
